SampleID,StationID,Station_D,SampleDateTime,Latitude,Longitude,Depth,Temperature,Salinity,Sigma-T,Conductivity,Beam Attenuation,Chla Fluor,Dissolved Oxygen (Model 43),DO % Saturation,Air Irradiance,Water Irradiance,pH <2>,TA in (mmol/kgSW),TCO2 in (mmol/kgSW),t(oC) out,P (dbars) out,pH out,fCO2 out (matm),pCO2 out (matm),HCO3 out (mmol/kgSW),CO3 out (mmol/kgSW),CO2 out (mmol/kgSW),B Alk out (mmol/kgSW),OH out (mmol/kgSW),P Alk out (mmol/kgSW),Si Alk out (mmol/kgSW) ,Revelle out,WCa out,WAr out,xCO2 out (dry at 1 atm) (ppm),Field Replicate,Data Source,VINDTA Sample Name,Sampled Bottle Name,Sampling Date,Sampling Depth,Salinity - Carolina,Salinity - Ries ,Run T,Sampling T,Pressure,Comments
BH,SG1,,6/15/18 11:56,42.346533,-70.960667,5,9.5,,,,,,,,,,,2106.573486,1985.794189,9.5,15,7.942741599,480.5236813,482.3929064,1868.230656,95.58052724,21.98298333,46.0531612,1.140174388,0,0,14.64423121,2.327752013,1.465353928,488.011134,N,ToRies_Labprocessed2018_sharedSeaGlass,,,,,,,,,,
BH,SG1,,7/10/18 14:17,42.346533,-70.960667,1,19.02,,,,,,,,,,,2116.698975,1943.618774,19.02000046,11,7.925247219,517.5798321,519.3629032,1794.476569,131.4989506,17.64323752,56.45812577,2.778527275,0,0,12.259058,3.231833154,2.075536642,530.6847714,N,ToRies_Labprocessed2018_sharedSeaGlass,,,,,,,,,,
BH,SG1,,7/10/18 14:23,42.346533,-70.960667,5,18,,,,,,,,,,,2147.172119,1992.325073,18,15,7.886054769,579.3025084,581.3238851,1851.503531,120.5489778,20.27255679,52.25348868,2.33039975,0,0,12.98358253,2.945943709,1.890187086,593.1922329,Y,ToRies_Labprocessed2018_sharedSeaGlass,,,,,,,,,,
BH,SG1,,7/10/18 14:23,42.346533,-70.960667,5,18,,,,,,,,,,,2158.376709,1984.953003,18,15,7.930081952,518.767409,520.5775589,1834.702396,132.0930879,18.15746516,56.9225687,2.577464046,0,0,12.38474845,3.228770629,2.071465885,531.2059022,Y,ToRies_Labprocessed2018_sharedSeaGlass,,,,,,,,,,
SBNMS,N01,,7/18/18 10:46,42.42141167,-70.44918167,1.147,19.0771,31.1204,,,,,,,,,,2131.504883,1913.25,19.07710075,11.14700031,8.018230494,404.6226541,406.0155912,1739.74768,159.7599122,13.74236625,68.76251243,3.484705671,0,0,10.96358207,3.916688781,2.518423792,414.8969763,N,ToRies_Labprocessed2018_sharedSeaGlass,,,,,,,,,,
SBNMS,N16,,7/18/18 11:08,42.406045,-70.45541333,1.15,19.2509,31.0508,,,,,,,,,,2144.484619,1904.072021,19.25090027,11.14999962,8.059722235,363.5004348,364.7490915,1717.346105,174.4360295,12.28987232,74.3835218,3.891754813,0,0,10.46362653,4.279632292,2.752445321,372.816959,N,ToRies_Labprocessed2018_sharedSeaGlass,,,,,,,,,,
SBNMS,N16,,7/18/18 11:19,42.406045,-70.45541333,25.048,7.1629,32.04,,,,,,,,,,2199.232178,2073.560791,7.162899971,35.04800034,7.967311727,460.4840445,462.3309496,1952.0923,98.83968689,22.62885449,48.50001988,0.971389417,0,0,14.73276245,2.379148172,1.498250104,466.9139827,N,ToRies_Labprocessed2018_sharedSeaGlass,,,,,,,,,,
SBNMS,N15,,7/18/18 11:36,42.40722667,-70.26984833,1.494,19.1882,31.0947,,,,,,,,,,2127.7854,1902.723389,19.1882,11.49400043,8.03154729,389.4823307,390.8212859,1725.513401,164.0214355,13.18849927,70.60961749,3.629068114,0,0,10.77818544,4.022315018,2.586878441,399.4311756,N,ToRies_Labprocessed2018_sharedSeaGlass,,,,,,,,,,
SBNMS,N15,,7/18/18 11:36,42.40722667,-70.26984833,1.494,19.1882,31.0947,,,,,,,,,,2131.429199,1897.258423,19.1882,11.49400043,8.049626524,371.2728643,372.5492194,1714.758718,169.9278358,12.5718974,73.04064947,3.783331132,0,0,10.56840386,4.167158297,2.680031749,380.756571,N,ToRies_Labprocessed2018_sharedSeaGlass,,,,,,,,,,
SBNMS,N03,,7/18/18 12:08,42.41350333,-70.40652333,1.141,19.0199,31.1677,,,,,,,,,,2136.856445,1911.814575,19.01989937,11.14099979,8.03185374,390.7093689,392.0553709,1734.374609,164.1520345,13.28791394,70.60764748,3.579707044,0,0,10.80703908,4.022736923,2.586587968,400.5999331,N,ToRies_Labprocessed2018_sharedSeaGlass,,,,,,,,,,
SBNMS,N14,,7/18/18 12:34,42.39899167,-70.417535,1.289,19.0772,31.1501,,,,,,,,,,2141.119629,1916.522217,19.07719994,11.28899956,8.029606797,393.9615376,395.3177715,1739.085212,164.0588716,13.37807704,70.34701588,3.579240296,0,0,10.8310368,4.021180498,2.58583156,403.9650591,N,ToRies_Labprocessed2018_sharedSeaGlass,,,,,,,,,,
SBNMS,N04,,7/18/18 12:59,42.40417833,-70.38647,1.228,19.0211,31.1722,,,,,,,,,,2165.58252,1907.957031,19.02109909,11.22799969,8.091980143,335.5206234,336.6764817,1710.576464,185.970262,11.41029294,78.96168317,4.112081879,0,0,10.14869165,4.55722371,2.930307117,344.0146443,N,ToRies_Labprocessed2018_sharedSeaGlass,,,,,,,,,,
SBNMS,N13,,7/18/18 13:21,42.39143333,-70.39683667,1.193,19.1764,31.1672,,,,,,,,,,2138.539551,1908.351563,19.17639923,11.19299984,8.039664511,382.6634406,383.979148,1727.83989,167.5548516,12.9568094,71.90080618,3.69836456,0,0,10.68285722,4.107060115,2.641830463,392.4316052,N,ToRies_Labprocessed2018_sharedSeaGlass,,,,,,,,,,
SBNMS,N13,,7/18/18 13:31,42.39143333,-70.39683667,25.157,6.4286,32.0607,,,,,,,,,,2205.593994,2069.874512,6.428599834,35.1570015,8.00603593,416.3265823,418.0126112,1944.616521,104.2697588,20.98815416,51.46434177,0.983629787,0,0,14.35027171,2.509574194,1.578834151,421.9503692,N,ToRies_Labprocessed2018_sharedSeaGlass,,,,,,,,,,
SBNMS,N05,,7/18/18 14:11,42.48136,-70.37027,1.26,19.3481,31.1773,,,,,,,,,,2139.224854,1915.849731,19.34810066,11.26000023,8.022676422,400.8981759,402.2736266,1739.005938,163.3359127,13.50789415,69.94217668,3.614648583,0,0,10.84927508,4.004361912,2.576948594,411.2261024,N,ToRies_Labprocessed2018_sharedSeaGlass,,,,,,,,,,
SBNMS,N12,,7/18/18 14:51,42.38080333,-70.37748333,1.297,19.7999,31.1587,,,,,,,,,,2129.043701,1904.726318,19.79990005,11.29699993,8.019213989,402.5370708,403.9103829,1727.488649,163.8439743,13.39363825,70.13817551,3.738676432,0,0,10.78600176,4.02011431,2.589898582,413.1612339,N,ToRies_Labprocessed2018_sharedSeaGlass,,,,,,,,,,
SBNMS,N12,,7/18/18 15:01,42.38080333,-70.37748333,25.055,6.1772,32.077,,,,,,,,,,2189.385498,2025.851929,6.177199841,35.05500031,8.083844008,337.1343372,338.5041939,1888.848754,119.8577858,17.14544,59.68336631,1.146166634,0,0,13.171371,2.884618292,1.814233146,341.6375784,N,ToRies_Labprocessed2018_sharedSeaGlass,,,,,,,,,,
SBNMS,N12,,7/18/18 15:01,42.38080333,-70.37748333,25.055,6.1772,32.077,,,,,,,,,,2191.300537,2007.34375,6.177199841,35.05500031,8.132842742,296.585451,297.790548,1860.127756,132.1327804,15.08326947,65.63161986,1.283058611,0,0,12.43824223,3.180040685,2.000034193,300.5470642,N,ToRies_Labprocessed2018_sharedSeaGlass,,,,,,,,,,
