DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V,Salinity_PSS,TDS_mg/l,ORP_mV,Timestamp,TIME_BIN,lat,lon,ele
04/17/19,13:02:55,6.52,7.91,0.69,20140.0,11.57,101.4,0.87,-39.8,8.46,11.93,12890,-0.2,2019-04-17 13:02:55,2019-04-17-13-02,42.192237619310617,-70.421249745413661,12.630000000000001
04/17/19,13:03:00,5.26,8.19,0.66,50510.0,8.60,83.8,0.63,-54.7,8.46,32.45,32330,-0.2,2019-04-17 13:03:00,2019-04-17-13-03,42.191415019333363,-70.417971080169082,12.15
04/17/19,13:03:05,5.24,8.20,0.67,50490.0,8.64,84.1,0.70,-55.6,8.41,32.43,32310,-0.3,2019-04-17 13:03:05,2019-04-17-13-03,42.191415019333363,-70.417971080169082,12.15
04/17/19,13:03:10,4.69,8.17,6.98,50540.0,9.01,86.6,0.81,-53.6,8.08,32.39,32350,-0.3,2019-04-17 13:03:10,2019-04-17-13-03,42.191415019333363,-70.417971080169082,12.15
04/17/19,13:03:15,4.31,8.15,12.05,50740.0,9.28,88.4,1.62,-52.7,8.46,32.48,32470,-0.3,2019-04-17 13:03:15,2019-04-17-13-03,42.191415019333363,-70.417971080169082,12.15
04/17/19,13:03:20,4.07,8.13,17.07,50950.0,9.42,89.3,2.10,-51.6,8.44,32.59,32610,-0.3,2019-04-17 13:03:20,2019-04-17-13-03,42.191415019333363,-70.417971080169082,12.15
04/17/19,13:03:25,3.95,8.11,21.85,50910.0,9.60,90.6,1.89,-50.5,8.34,32.54,32580,-0.3,2019-04-17 13:03:25,2019-04-17-13-03,42.191415019333363,-70.417971080169082,12.15
04/17/19,13:03:30,3.94,8.11,26.92,51010.0,9.71,91.8,2.00,-50.1,8.43,32.61,32640,-0.3,2019-04-17 13:03:30,2019-04-17-13-03,42.191415019333363,-70.417971080169082,12.15
04/17/19,13:03:35,3.94,8.11,30.66,50990.0,9.77,92.3,1.99,-50.1,8.39,32.60,32630,-0.3,2019-04-17 13:03:35,2019-04-17-13-03,42.191415019333363,-70.417971080169082,12.15
04/17/19,13:03:40,3.94,8.11,30.40,51010.0,9.93,93.9,1.87,-50.2,8.29,32.62,32650,-0.2,2019-04-17 13:03:40,2019-04-17-13-03,42.191415019333363,-70.417971080169082,12.15
