EVENT_ID,STAT_ID,PROF_DATE_TIME_LOCAL,LATITUDE,LONGITUDE,DEPTH (m),SAMPLE_DEPTH_CODE,CONDTVY (mS/cm),DISS_OXYGEN (mg/L),FLU_RAW (ug/L),PCT_SAT (PCT),pH (),SAL (PSU),SIGMA_T (),TEMP (C),TRANS (m-1),VAL_QUAL,Data Source
WN221,F06,2022-02-10 12:25:00,42.17229843,-70.57532501,1.740647078,A,30.7980957,10.53847122,0.779343784,100.87677,,32.50510406,25.76052284,4.412167072,0.87174207,,MassBay_2020_to_2022_CONCAT
WN221,F13,2022-02-10 13:06:00,42.26947021,-70.73361206,21.49638939,E,31.30831528,10.20256615,0.724161625,98.77308655,,32.67624283,25.85223961,4.829756737,0.66811794,,MassBay_2020_to_2022_CONCAT
WN221,F13,2022-02-10 13:07:00,42.26957321,-70.733284,15.66104317,D,30.97596169,10.21439171,0.850126147,98.08757019,,32.60251617,25.82711792,4.516432285,0.739690661,,MassBay_2020_to_2022_CONCAT
WN221,F13,2022-02-10 13:08:00,42.26981735,-70.73303986,10.49347115,C,30.39778137,10.38827801,1.367183566,98.34685516,,32.46348572,25.77145958,3.974433899,0.916048527,,MassBay_2020_to_2022_CONCAT
WN221,F13,2022-02-10 13:08:00,42.26989746,-70.73287964,6.693305492,B,29.22801208,10.97594166,2.438025951,100.8929214,,32.15966415,25.62878036,2.875442028,1.629624128,,MassBay_2020_to_2022_CONCAT
WN221,F13,2022-02-10 13:09:00,42.2702446,-70.73255157,1.470661521,A,29.10208321,11.21474457,0.951807141,102.7864227,,32.11310959,25.60013771,2.771745205,1.806140304,,MassBay_2020_to_2022_CONCAT
 WN218,F23,2021-09-08 07:21:07,42.3404006958008,-70.9412994384766,21.2775535583496,E,40.7129249572754,6.43068170547485,2.28100347518921,82.0654144287109,8.22404861450195,30.3985233306885,21.6859798431396,18.2809314727783,1.67802679538727,,MassBay_2020_to_2022_CONCAT
 WN218,F23,2021-09-08 07:21:44,42.3404121398926,-70.9413909912109,16.298641204834,D,40.7422485351563,6.47676706314087,2.29678511619568,82.7934417724609,8.22977161407471,30.3477058410645,21.6218090057373,18.3849906921387,1.63425040245056,,MassBay_2020_to_2022_CONCAT
 WN218,F23,2021-09-08 07:22:29,42.3403968811035,-70.9415130615234,11.5142774581909,C,40.7490653991699,6.48822164535522,2.3228964805603,82.9884338378906,8.2216329574585,30.3280487060547,21.5977611541748,18.4214820861816,1.61330771446228,,MassBay_2020_to_2022_CONCAT
 WN218,F23,2021-09-08 07:23:10,42.3403511047363,-70.9416122436523,6.66898965835571,B,40.6584167480469,6.47521066665649,2.27526521682739,83.1902313232422,8.20134258270264,30.0136909484863,21.2772331237793,18.7514781951904,1.66779708862305,,MassBay_2020_to_2022_CONCAT
 WN218,F23,2021-09-08 07:23:51,42.3402290344238,-70.9416961669922,1.79181313514709,A,39.5207633972168,6.6969747543335,2.93320775032043,86.3292694091797,8.19979667663574,28.6669464111328,20.1032524108887,19.3494300842285,1.66135370731354,,MassBay_2020_to_2022_CONCAT
 WN218,N01,2021-09-08 07:50:23,42.4210815429688,-70.8642654418945,28.3903713226318,E,36.0903244018555,5.81341648101807,0.434861958026886,64.4335479736328,8.08678531646729,32.1914825439453,24.6169013977051,10.8476238250732,1.06556725502014,,MassBay_2020_to_2022_CONCAT
 WN218,N01,2021-09-08 07:51:06,42.421085357666,-70.8641738891602,22.1485080718994,D,36.6926803588867,5.94220113754272,0.569721519947052,66.9817962646484,8.05775928497314,32.0756416320801,24.381799697876,11.6621761322021,0.671302437782288,,MassBay_2020_to_2022_CONCAT
