EVENT_ID,STAT_ID,PROF_DATE_TIME_LOCAL,LATITUDE,LONGITUDE,DEPTH (m),SAMPLE_DEPTH_CODE,CONDTVY (mS/cm),DISS_OXYGEN (mg/L),FLU_RAW (ug/L),PCT_SAT (PCT),pH (),SAL (PSU),SIGMA_T (),TEMP (C),TRANS (m-1),VAL_QUAL,Data Source,Air Irradiance,Water Irradiance,Station_D,TA in (mmol/kgSW),TCO2 in (mmol/kgSW),t(oC) out,P (dbars) out,pH out,fCO2 out (matm),pCO2 out (matm),HCO3 out (mmol/kgSW),CO3 out (mmol/kgSW),CO2 out (mmol/kgSW),B Alk out (mmol/kgSW),OH out (mmol/kgSW),P Alk out (mmol/kgSW),Si Alk out (mmol/kgSW) ,Revelle out,WCa out,WAr out,xCO2 out (dry at 1 atm) (ppm),Field Replicate
WN1880BF,N01,2018-09-05 15:11:09-0400,42.4198341369629,-70.8663330078125,5.79269170761108,B,42.5632133483887,8.46631717681885,5.82715463638306,110.282272338867,8.07217788696289,31.3534603118896,22.2234306335449,19.0579261779785,1.17477750778198,,ToRies_Labprocessed2018_sharedSeaGlass,2164.66259765625,375.140563964844,N01-m,2117.162353515625,1951.00439453125,19.05792617797852,15.792691230773926,7.90873785030224,550.537115405508,552.432825819739,1805.3956090283407,126.92422645862064,18.684543010639207,55.26926173529333,2.661604511712999,0.0,0.0,12.453101628513664,3.10437218130886,1.9974049370040248,564.5006850386661,Y
WN1880BF,N01,2018-09-05 15:11:09-0400,42.4198341369629,-70.8663330078125,5.79269170761108,B,42.5632133483887,8.46631717681885,5.82715463638306,110.282272338867,8.07217788696289,31.3534603118896,22.2234306335449,19.0579261779785,1.17477750778198,,ToRies_Labprocessed2018_sharedSeaGlass,2164.66259765625,375.140563964844,N01-m,2133.80224609375,1951.2352294921875,19.05792617797852,15.792691230773926,7.945272040730455,503.691993389031,505.4263980834885,1796.739091105288,137.40146097606635,17.094677999429003,59.37664524908214,2.8951942959723267,0.0,0.0,11.975554640789792,3.36062929061345,2.162285043309953,516.4674049399333,Y
WN1880C0,N01,2018-09-05 15:11:50-0400,42.4199981689453,-70.8663330078125,1.64674305915833,A,44.7524566650391,8.52022647857666,2.11638450622559,116.148132324219,8.09496879577637,31.2770957946777,21.5206089019775,21.5333156585693,1.03933227062225,,ToRies_Labprocessed2018_sharedSeaGlass,2179.98852539063,986.651672363281,N01-d,2133.579833984375,1914.6060791015625,21.533315658569336,11.646742820739746,7.987438129822561,449.2433526716798,450.7433725093706,1738.9903611511345,161.37313138577886,14.242587853599812,67.85172478113147,4.002085675835455,0.0,0.0,10.894018489299617,3.9675234747854766,2.568456735624736,462.2597670914447,N
WN1880CE,F23,2018-09-05 15:46:00-0400,42.33933258,-70.94000244,23.31293869,E,39.53987885,6.675379753,2.143381119,81.15270233,8.089118958,31.56694031,23.23080444,15.4522953,1.753167868,,MassBay_2017_to_2022,1123.307739,3.480936527,,,,,,,,,,,,,,,,,,,,
WN1880CF,F23,2018-09-05 15:47:00-0400,42.33916855,-70.94000244,16.95777321,D,41.26152802,6.7508111,2.843875408,85.4841156,8.051851273,31.40006065,22.62196732,17.56768417,1.587299466,,MassBay_2017_to_2022,955.3237305,4.053778648,,,,,,,,,,,,,,,,,,,,
WN1880D0,F23,2018-09-05 15:48:00-0400,42.33916855,-70.94017029,11.47108936,C,41.80459213,6.822989464,3.084681273,87.48748016,8.043125153,31.34819412,22.42245865,18.2335701,1.546062708,,MassBay_2017_to_2022,1009.544434,10.93252182,,,,,,,,,,,,,,,,,,,,
WN1880D1,F23,2018-09-05 15:49:00-0400,42.3390007,-70.94033051,4.424912453,A,43.14585495,7.112865448,4.751531124,93.99415588,8.041049957,31.22594833,21.92209816,19.86338043,1.744624496,,MassBay_2017_to_2022,1037.953369,188.9727173,,,,,,,,,,,,,,,,,,,,
WN1880D2,F23,2018-09-05 15:50:00-0400,42.3390007,-70.94049835,1.903265953,A,43.70534897,7.273815155,5.497336388,97.28999329,8.043446541,31.1867218,21.72054482,20.5255661,1.711868286,,MassBay_2017_to_2022,2575.512939,1695.050781,,,,,,,,,,,,,,,,,,,,
SG1,SG1,2018-09-27 11:30:00-0400,42.346533,-70.960667,1.0,,,,,,,29.0,,18.5,,,ToRies_Labprocessed2018_sharedSeaGlass,,,,2018.069091796875,1919.15087890625,18.5,11.0,7.77545917387618,753.7422217380989,756.3558322479349,1806.7058293071395,86.11820520868835,26.3269000388088,37.36651297744216,1.777499196054108,0.0,0.0,14.983124184787917,2.1393112686218743,1.3645392451176743,772.3207430824609,N
SG1,SG1,2018-09-27 11:34:00-0400,42.346533,-70.960667,4.573170732,,,,,,,29.6,,18.0,,,ToRies_Labprocessed2018_sharedSeaGlass,,,,2063.617431640625,1940.4884033203125,18.0,14.57317066192627,7.841772247849581,646.5772288780528,648.833349252215,1817.1911322342416,100.46106785063024,22.836149561457656,43.51916862957536,1.9995868929514435,0.0,0.0,14.065446355208456,2.482395046627176,1.5847407766953192,662.0923243950405,Y
